listing_id,title,description,property_type,area,lat,lon,bedrooms,size_sqft,furnished,building_age_years,floor,price_aed_month,agent_name,listed_date,status,is_suspicious_truth,dup_group_truth
1212,2BR Apartment for Rent in Palm Jumeirah - Prime Location,"Landlord maintained, no agency fees. Built-in wardrobes throughout.",2BR Apartment,Palm Jumeirah,25.12225,55.16098,2,1383,0,12,31,14750,Ravi Shankar,2026-04-22,active,0,1212
600,3BR Apartment for Rent in Palm Jumeirah - Prime Location,"Landlord maintained, no agency fees. Available for immediate move-in. Close to metro station and community mall. Built-in wardrobes throughout.",3BR Apartment,Palm Jumeirah,25.09765,55.12121,4,1455,1,8,42,18000,Layla Haddad,2026-08-10,active,0,600
2208,Must See! Villa Available in Dubai Marina,Close to metro station and community mall. Near international schools.,Villa,Dubai Marina,25.06315,55.16189,5,2995,1,10,0,27000,Michael Costa,2026-06-10,active,0,1573
516,Townhouse for Rent in Dubai Silicon Oasis - Prime Location,Shared pool and gym access. Built-in wardrobes throughout. Recently renovated kitchen and bathrooms.,Townhouse,Dubai Silicon Oasis,25.13013,55.36113,3,2093,1,13,0,8250,Hassan Ali,2026-06-12,active,0,516
1570,Chiller Free Townhouse in Dubai Sports City,"Pet friendly building. Landlord maintained, no agency fees. Shared pool and gym access.",Townhouse,Dubai Sports City,25.03783,55.23181,3,1982,0,21,0,8750,Ravi Shankar,2026-06-19,active,0,1570
1243,"Upgraded Villa in Discovery Gardens, Motivated Seller",Available for immediate move-in. Recently renovated kitchen and bathrooms. Balcony with community view. Built-in wardrobes throughout.,Villa,Discovery Gardens,25.06118,55.11977,6,3829,0,4,0,21250,Fatima Al-Suwaidi,2026-07-29,active,0,1243
1636,Stunning 2BR Apartment | Jumeirah Village Circle | Vacant Soon,Shared pool and gym access. Covered parking included. Close to metro station and community mall.,2BR Apartment,Jumeirah Village Circle,25.07449,55.20583,3,1304,0,10,23,7000,Priya Nair,2026-03-01,active,0,1636
129,Villa for Rent in Business Bay - Prime Location,"Close to metro station and community mall. Landlord maintained, no agency fees. Shared pool and gym access. Recently renovated kitchen and bathrooms.",Villa,Business Bay,25.20433,55.24967,6,5038,0,17,0,41000,Hassan Ali,2026-08-03,active,0,129
640,Best Deal! 1BR Apartment in Jumeirah Lake Towers,Balcony with community view. Close to metro station and community mall. Shared pool and gym access. Built-in wardrobes throughout.,1BR Apartment,Jumeirah Lake Towers,25.05745,55.13641,1,751,0,2,34,6250,Ravi Shankar,2026-05-23,active,0,640
561,Stunning 3BR Apartment | Discovery Gardens | Vacant Soon,Built-in wardrobes throughout. Close to metro station and community mall. Balcony with community view.,3BR Apartment,Discovery Gardens,25.05963,55.16609,4,1763,0,18,25,9000,Noor Abdullah,2026-07-05,active,0,561
964,Chiller Free 2BR Apartment in Business Bay,"Available for immediate move-in. Landlord maintained, no agency fees. Pet friendly building. Balcony with community view.",2BR Apartment,Business Bay,25.19638,55.27277,3,1153,0,1,36,8500,Ravi Shankar,2026-05-06,active,0,964
1120,Spacious 2BR Apartment in Jumeirah Village Circle | Ready to Move,"Landlord maintained, no agency fees. Recently renovated kitchen and bathrooms.",2BR Apartment,Jumeirah Village Circle,25.05904,55.19741,2,1333,1,21,8,7000,Fatima Al-Suwaidi,2026-04-13,active,0,1120
1099,Spacious 1BR Apartment in Dubai Marina | Ready to Move,Built-in wardrobes throughout. Recently renovated kitchen and bathrooms.,1BR Apartment,Dubai Marina,25.06232,55.12104,2,655,1,8,37,6000,Layla Haddad,2026-05-26,active,0,1099
884,1BR Apartment with Full Amenities - Al Furjan,Shared pool and gym access. Close to metro station and community mall. Recently renovated kitchen and bathrooms. Near international schools.,1BR Apartment,Al Furjan,25.04626,55.12906,2,932,0,4,8,4250,Noor Abdullah,2026-08-09,active,0,884
1763,Spacious 1BR Apartment in Jumeirah Village Circle | Ready to Move,Near international schools. Recently renovated kitchen and bathrooms. Balcony with community view. Shared pool and gym access.,1BR Apartment,Jumeirah Village Circle,25.06833,55.22544,1,795,0,9,1,4500,Fatima Al-Suwaidi,2026-03-01,active,0,1763
2529,"Hot Deal - Townhouse in Downtown Dubai, Call Now","Shared pool and gym access. Close to metro station and community mall. Landlord maintained, no agency fees.",Townhouse,Downtown Dubai,25.20683,55.27711,4,2077,0,15,0,18500,Ravi Shankar,2026-03-01,active,0,95
141,Exclusive 1BR Apartment in Dubai Sports City | High Floor,Pet friendly building. Balcony with community view. Near international schools. Recently renovated kitchen and bathrooms.,1BR Apartment,Dubai Sports City,25.03293,55.20051,2,929,1,17,2,4500,Omar Farouk,2026-06-27,active,0,141
1540,"Upgraded Studio in Arabian Ranches, Motivated Seller",Recently renovated kitchen and bathrooms. Built-in wardrobes throughout. Covered parking included. Near international schools.,Studio,Arabian Ranches,25.07298,55.28419,0,509,0,0,10,3250,Grace Okafor,2026-04-18,active,0,1540
2123,Best Deal! 1BR Apartment in Discovery Gardens,"Landlord maintained, no agency fees. Built-in wardrobes throughout.",1BR Apartment,Discovery Gardens,25.03557,55.12879,1,848,1,20,1,3750,Omar Farouk,2026-08-21,active,0,2123
